accountId,date_acquired,cust_age,avg_order_rev,min_order_rev,max_order_rev,tot_order_cnt,churned
9469,2013-04-26,1196,649.87,649.87,649.87,2,1
9481,2013-04-25,1197,269.051667,96,444.48,6,0
9491,2013-04-25,1197,421.5775,340.23,576.6,4,0
9493,2013-04-25,1197,524.0475,149.86,1223.4,8,1
9503,2013-04-25,1197,240.68,7,474.36,2,1
9505,2013-04-25,1197,227.67,226.86,228.48,2,1
9511,2013-04-25,1197,2124.183333,944.58,2894.92,3,0
9516,2013-04-26,1196,2453,2453,2453,3,1
9526,2013-04-25,1197,989.15,750.38,1406.91,3,1
9531,2013-04-25,1197,354.65,331.5,377.8,2,1
9535,2013-04-25,1197,2285.9725,1747.5,2597.39,4,0
9551,2013-04-29,1193,317.585,185.43,449.74,2,0
9566,2013-04-25,1197,464.7625,400.32,601.39,4,1
9578,2013-04-26,1196,218.43,70.62,366.24,2,1
9594,2013-04-26,1196,712.576667,234.75,1348.95,7,0
9608,2013-04-26,1196,617,423,700,4,0
9610,2013-04-26,1196,1426.2,1225.2,1530.9,3,0
9614,2013-04-26,1196,237.98,118.96,357,2,1
9620,2013-04-26,1196,765.526667,72.31,1453.1,3,1
9636,2013-04-26,1196,736.96,736.96,736.96,2,1
9641,2013-04-26,1196,525,450,600,2,0
9647,2013-04-26,1196,324.53,303.14,345.92,2,1
9651,2013-04-26,1196,263.5,143.1,383.9,2,1
9656,2013-04-26,1196,711.3,99.6,1323,2,1
9659,2013-04-27,1195,220.56,205.92,235.2,2,1
9689,2013-04-27,1195,396.72,355.84,437.6,2,1
9706,2013-04-28,1194,288.075,208.95,367.2,3,1
9725,2013-04-28,1194,521.268,128.14,749,5,0
9746,2013-04-28,1194,264.76,246.6,282.92,2,1
9749,2013-04-28,1194,359.84,335.52,394.5,3,1
9750,2013-04-28,1194,596.6,331.2,862,2,1
9762,2013-04-28,1194,345.19,345.19,345.19,2,1
9770,2013-04-29,1193,241.8,131.16,352.44,2,1
9774,2013-04-29,1193,439.96,437,442.92,2,1
9777,2013-04-29,1193,618.4,518.55,718.25,2,1
9779,2013-04-29,1193,314.685,297.33,332.04,2,1
9793,2013-04-29,1193,461.9,307.8,616,2,1
9810,2013-04-29,1193,367.735,57.5,1119,36,0
9814,2013-04-29,1193,427.214,251.75,733.2,5,1
9815,2013-04-29,1193,969,360,1275,3,0
9816,2013-04-30,1192,254.845,225.89,283.8,2,1
9823,2013-04-29,1193,256.7,113.6,399.8,2,1
9831,2013-04-29,1193,248.19,226.98,269.4,2,1
9838,2013-04-29,1193,771.006,300,1115.4,5,0
9850,2013-04-29,1193,497.06,419.52,574.6,2,1
9858,2013-04-29,1193,1369.51,519.62,2219.4,2,1
9862,2013-04-29,1193,480.424545,156,784,11,1
9892,2013-04-30,1192,1146.08,904.4,1387.76,2,1
9903,2013-04-30,1192,225,225,225,2,1
9913,2013-04-30,1192,344.353333,258.31,413.25,3,1
9916,2013-04-30,1192,605.865,51,800,11,0
9919,2013-04-30,1192,281.33,279.45,283.21,2,1
9930,2013-06-03,1158,312.213333,200,400,3,1
9932,2013-04-30,1192,397.43,397.43,397.43,2,1
9934,2013-04-30,1192,723.77,512.5,1027.24,8,1
9936,2013-04-30,1192,448.35,346.7,550,2,1
9941,2013-04-30,1192,489.035,278.11,850.25,4,1
9943,2013-04-30,1192,381.735,363.12,400.35,2,1
